experiment,window,neighbors,train_acc,val_acc
3,100,1,1.0,0.7462646020103233
3,100,2,0.7778323739997193,0.6263243683781581
3,100,5,0.8551172258879686,0.7533279000271665
3,100,10,0.7760774954373157,0.7116272751969573
3,100,50,0.7482802190088446,0.7273838630806846
3,100,100,0.7320651410922364,0.7136647650095083
3,100,250,0.6883335673171417,0.6682966585167074
3,100,500,0.6368805278674716,0.6149144254278729
3,100,1000,0.5365716692404886,0.5157565878837272
3,150,1,1.0,0.7545862209539339
3,150,2,0.780901242366814,0.6347329800244599
3,150,5,0.8563908191198147,0.7521402364451691
3,150,10,0.7833228048010107,0.7081125152874032
3,150,50,0.748157506843546,0.7244190786791683
3,150,100,0.728153295430617,0.7013860578883
3,150,250,0.6728785007369973,0.6520587036282104
3,150,500,0.5895978100652769,0.5731757032205462
3,150,1000,0.5043166982522637,0.4834896045658377
3,200,1,1.0,0.76875
3,200,2,0.7971075540578489,0.6519021739130435
3,200,5,0.8675933726481325,0.7698369565217391
3,200,10,0.7867172142656557,0.7233695652173913
3,200,50,0.747964055040719,0.7236413043478261
3,200,100,0.719039595619208,0.6967391304347826
3,200,250,0.6543105869137883,0.6271739130434782
3,200,500,0.5702049985959,0.5480978260869566
3,200,1000,0.4842740803145184,0.4625
3,250,1,1.0,0.7605298913043478
3,250,2,0.7902036516853933,0.6389266304347826
3,250,5,0.8581460674157303,0.7612092391304348
3,250,10,0.7842345505617978,0.709578804347826
3,250,50,0.7496488764044944,0.7228260869565217
3,250,100,0.7061095505617978,0.6807065217391305
3,250,250,0.6288623595505618,0.6056385869565217
3,250,500,0.5493328651685393,0.5213994565217391
3,250,1000,0.46629213483146065,0.45040760869565216
3,300,1,1.0,0.7475530179445351
3,300,2,0.8008849557522124,0.648042414355628
3,300,5,0.859882005899705,0.7532626427406199
3,300,10,0.7859249894648125,0.7079934747145188
3,300,50,0.7469447956173619,0.7075856443719413
3,300,100,0.7010113780025284,0.6725122349102773
3,300,250,0.6057732827644332,0.5880913539967374
3,300,500,0.5261272650653182,0.5
3,300,1000,0.4532237673830594,0.43841761827079934
